year,wetland_code,module_code,tc_mc_code,habitat_code,count_per_m2,species_count
2015,SDW,W4,"SDL W4 MC1",BNMC,2.02176000,9
2015,CSM,CSM,"CSM TC1",TC,12.79531999,9
2015,CSM,CSM,"CSM TC2",TC,113.97358667,11
2015,CSM,CSM,"CSM TC3",TC,42.99542667,10
2015,CSM,CSM,"CSM TC4",TC,53.83975334,10
2015,CSM,CSM,"CSM TC5",TC,25.66255333,12
2015,CSM,CSM,"CSM TC6",TC,77.61764001,8
2015,CSM,CSM,"CSM MC1",BNMC,64.47833333,8
2015,CSM,CSM,"CSM MC2",BNMC,103.54028666,12
2015,CSM,CSM,"CSM MC3",BNMC,40.03888000,6
2015,CSM,CSM,"CSM MC4",BNMC,43.56492667,11
2015,CSM,CSM,"CSM MC5",BNMC,67.22049334,10
2015,CSM,CSM,"CSM MC6",BNMC,34.68260000,10
2015,MUL,MUL,"MUL TC1",TC,25.19297999,15
2015,MUL,MUL,"MUL TC2",TC,7.14088666,16
2015,MUL,MUL,"MUL TC3",TC,14.96906667,12
2015,MUL,MUL,"MUL TC4",TC,34.08291332,22
2015,MUL,MUL,"MUL TC5",TC,14.80716666,10
2015,MUL,MUL,"MUL TC6",TC,3.73457334,12
2015,MUL,MUL,"MUL MC1",BNMC,20.06257334,11
2015,MUL,MUL,"MUL MC2",BNMC,7.73941333,7
2015,MUL,MUL,"MUL MC3",BNMC,26.41003333,12
2015,MUL,MUL,"MUL MC4",BNMC,11.24554000,9
2015,MUL,MUL,"MUL MC5",BNMC,3.43983334,12
2015,MUL,MUL,"MUL MC6",BNMC,5.02965333,10
2015,TJE,TJE,"TJE TC1",TC,15.94479334,8
2015,TJE,TJE,"TJE TC2",TC,28.54225334,5
2015,TJE,TJE,"TJE TC3",TC,16.62950667,6
2015,TJE,TJE,"TJE TC4",TC,19.86381333,6
2015,TJE,TJE,"TJE TC5",TC,12.96667334,7
2015,TJE,TJE,"TJE TC6",TC,6.00556666,8
2015,TJE,TJE,"TJE MC1",BNMC,5.80343334,8
2015,TJE,TJE,"TJE MC2",BNMC,18.51849999,10
2015,TJE,TJE,"TJE MC3",BNMC,12.84288000,9
2015,TJE,TJE,"TJE MC4",BNMC,6.81105333,7
2015,TJE,TJE,"TJE MC5",BNMC,37.02083333,7
2015,TJE,TJE,"TJE MC6",BNMC,24.06215333,8
2016,SDW,W2,"SDL W2 TC2",TC,27.35940666,7
2016,SDW,W2,"SDL W2 TC4",TC,14.77506666,7
2016,SDW,W2,"SDL W2 TC5",TC,14.53869999,9
2016,SDW,W4,"SDL W4 TC2",TC,1.51236001,6
2016,SDW,W4,"SDL W4 TC5",TC,0.12203333,2
2016,SDW,W4,"SDL W4 TC6",TC,0.05709999,7
2016,SDW,W1,"SDL W1 MC1",BNMC,2.35703334,6
2016,SDW,W1,"SDL W1 MC2",BNMC,2.83572000,8
2016,SDW,W1,"SDL W1 MC3",BNMC,1.48342667,8
2016,SDW,W1,"SDL W1 MC4",BNMC,1.88746000,8
2016,SDW,W1,"SDL W1 MC5",BNMC,1.91981333,7
2016,SDW,W4,"SDL W4 MC1",BNMC,6.50050666,13
2016,CSM,CSM,"CSM TC1",TC,19.33954001,10
2016,CSM,CSM,"CSM TC2",TC,76.79101333,10
2016,CSM,CSM,"CSM TC3",TC,31.69368000,9
2016,CSM,CSM,"CSM TC4",TC,46.44356667,8
2016,CSM,CSM,"CSM TC5",TC,14.68014666,12
2016,CSM,CSM,"CSM TC6",TC,104.44524666,11
2016,CSM,CSM,"CSM MC1",BNMC,16.24376667,7
2016,CSM,CSM,"CSM MC2",BNMC,9.25354666,10
2016,CSM,CSM,"CSM MC3",BNMC,5.31371999,11
2016,CSM,CSM,"CSM MC4",BNMC,10.73962666,12
2016,CSM,CSM,"CSM MC5",BNMC,47.69568666,11
2016,CSM,CSM,"CSM MC6",BNMC,39.73218001,13
2016,MUL,MUL,"MUL TC1",TC,2.08695332,13
2016,MUL,MUL,"MUL TC2",TC,3.54985333,8
2016,MUL,MUL,"MUL TC3",TC,7.61338000,10
2016,MUL,MUL,"MUL TC4",TC,4.11872000,16
2016,MUL,MUL,"MUL TC5",TC,2.29754665,13
2016,MUL,MUL,"MUL TC6",TC,1.60750000,8
2016,MUL,MUL,"MUL MC1",BNMC,0.66946667,6
2016,MUL,MUL,"MUL MC2",BNMC,0.98764001,5
2016,MUL,MUL,"MUL MC3",BNMC,0.42156667,6
2016,MUL,MUL,"MUL MC4",BNMC,0.45086665,6
2016,MUL,MUL,"MUL MC5",BNMC,0.20020000,6
2016,MUL,MUL,"MUL MC6",BNMC,0.54636667,8
2016,TJE,TJE,"TJE TC1",TC,2.87145334,8
2016,TJE,TJE,"TJE TC2",TC,0.12356667,4
2016,TJE,TJE,"TJE TC3",TC,5.87661999,10
2016,TJE,TJE,"TJE TC4",TC,3.09059999,10
2016,TJE,TJE,"TJE TC5",TC,1.06571999,9
2016,TJE,TJE,"TJE TC6",TC,3.38568667,8
2016,TJE,TJE,"TJE MC1",BNMC,7.99708000,6
2016,TJE,TJE,"TJE MC2",BNMC,15.83527333,6
2016,TJE,TJE,"TJE MC3",BNMC,6.58114000,4
2016,TJE,TJE,"TJE MC4",BNMC,5.91458000,9
2016,TJE,TJE,"TJE MC5",BNMC,8.60390000,7
2016,TJE,TJE,"TJE MC6",BNMC,4.12126668,8
2017,SDW,W2,"SDL W2 TC2",TC,5.94396666,8
2017,SDW,W2,"SDL W2 TC4",TC,5.78662667,7
2017,SDW,W2,"SDL W2 TC5",TC,2.59766667,7
2017,SDW,W4,"SDL W4 TC2",TC,0.38213334,5
2017,SDW,W4,"SDL W4 TC5",TC,2.21409333,5
2017,SDW,W4,"SDL W4 TC6",TC,0.16133334,7
2017,SDW,W1,"SDL W1 MC1",BNMC,0.04490000,1
2017,SDW,W1,"SDL W1 MC2",BNMC,0.06910000,7
2017,SDW,W1,"SDL W1 MC3",BNMC,2.85258666,8
2017,SDW,W1,"SDL W1 MC4",BNMC,0.73306666,6
2017,SDW,W1,"SDL W1 MC5",BNMC,0.95623334,4
2017,SDW,W4,"SDL W4 MC1",BNMC,2.65438002,9
2017,CSM,CSM,"CSM TC1",TC,13.05062667,6
2017,CSM,CSM,"CSM TC2",TC,89.53939332,9
2017,CSM,CSM,"CSM TC3",TC,106.56626667,6
2017,CSM,CSM,"CSM TC4",TC,72.38046666,8
2017,CSM,CSM,"CSM TC5",TC,9.12540666,16
2017,CSM,CSM,"CSM TC6",TC,61.15486667,8
2017,CSM,CSM,"CSM MC1",BNMC,12.40702667,10
2017,CSM,CSM,"CSM MC2",BNMC,2.07474002,9
2017,CSM,CSM,"CSM MC3",BNMC,1.50122667,8
2017,CSM,CSM,"CSM MC4",BNMC,20.96673333,10
2017,CSM,CSM,"CSM MC5",BNMC,20.93144667,14
2017,CSM,CSM,"CSM MC6",BNMC,38.93050001,15
2017,MUL,MUL,"MUL TC1",TC,5.22994666,9
2017,MUL,MUL,"MUL TC2",TC,3.08413999,9
2017,MUL,MUL,"MUL TC3",TC,4.32507999,11
2017,MUL,MUL,"MUL TC4",TC,1.57086669,19
2017,MUL,MUL,"MUL TC5",TC,1.30570000,9
2017,MUL,MUL,"MUL TC6",TC,0.49816666,9
2017,MUL,MUL,"MUL MC1",BNMC,0.19063334,7
2017,MUL,MUL,"MUL MC2",BNMC,0.08520000,3
2017,MUL,MUL,"MUL MC3",BNMC,0.59810001,7
2017,MUL,MUL,"MUL MC4",BNMC,0.66482000,7
2017,MUL,MUL,"MUL MC5",BNMC,0.85438666,12
2017,MUL,MUL,"MUL MC6",BNMC,1.08647334,7
2017,TJE,TJE,"TJE TC1",TC,4.92665999,11
2017,TJE,TJE,"TJE TC2",TC,2.91794667,5
2017,TJE,TJE,"TJE TC3",TC,4.24188667,7
2017,TJE,TJE,"TJE TC4",TC,8.86943332,6
2017,TJE,TJE,"TJE TC5",TC,0.63163333,2
2017,TJE,TJE,"TJE TC6",TC,0.96902000,3
2017,TJE,TJE,"TJE MC1",BNMC,2.12294667,7
2017,TJE,TJE,"TJE MC2",BNMC,2.10238000,6
2017,TJE,TJE,"TJE MC3",BNMC,4.92998000,9
2017,TJE,TJE,"TJE MC4",BNMC,0.81722001,9
2017,TJE,TJE,"TJE MC5",BNMC,3.63852000,5
2017,TJE,TJE,"TJE MC6",BNMC,10.86961334,8
2018,SDW,W2,"SDL W2 TC2",TC,2.96834666,5
2018,SDW,W2,"SDL W2 TC4",TC,3.47907334,7
2018,SDW,W2,"SDL W2 TC5",TC,2.31567333,4
2018,SDW,W4,"SDL W4 TC2",TC,1.91309334,3
2018,SDW,W4,"SDL W4 TC5",TC,2.96236667,6
2018,SDW,W4,"SDL W4 TC6",TC,0.07453332,5
2018,SDW,W1,"SDL W1 MC1",BNMC,1.91978000,6
2018,SDW,W1,"SDL W1 MC2",BNMC,0.43516667,5
2018,SDW,W1,"SDL W1 MC3",BNMC,0.20883333,2
2018,SDW,W1,"SDL W1 MC4",BNMC,2.47428000,6
2018,SDW,W1,"SDL W1 MC5",BNMC,1.95418666,6
2018,SDW,W4,"SDL W4 MC1",BNMC,0.37356667,8
2018,CSM,CSM,"CSM TC1",TC,19.58038667,10
2018,CSM,CSM,"CSM TC2",TC,80.99432001,8
2018,CSM,CSM,"CSM TC3",TC,15.47968667,10
2018,CSM,CSM,"CSM TC4",TC,20.23970001,5
2018,CSM,CSM,"CSM TC5",TC,33.20286000,12
2018,CSM,CSM,"CSM TC6",TC,9.46618667,10
2018,CSM,CSM,"CSM MC1",BNMC,2.32489333,6
2018,CSM,CSM,"CSM MC2",BNMC,6.88164000,9
2018,CSM,CSM,"CSM MC3",BNMC,8.01704667,8
2018,CSM,CSM,"CSM MC4",BNMC,35.84928000,11
2018,CSM,CSM,"CSM MC5",BNMC,8.83105999,10
2018,CSM,CSM,"CSM MC6",BNMC,15.00845333,12
2018,MUL,MUL,"MUL TC1",TC,4.73125333,11
2018,MUL,MUL,"MUL TC2",TC,2.81686666,8
2018,MUL,MUL,"MUL TC3",TC,5.47281332,13
2018,MUL,MUL,"MUL TC4",TC,11.13967333,14
2018,MUL,MUL,"MUL TC5",TC,4.72260666,9
2018,MUL,MUL,"MUL TC6",TC,6.54410666,12
2018,MUL,MUL,"MUL MC1",BNMC,0.31373334,7
2018,MUL,MUL,"MUL MC2",BNMC,0.61770001,6
2018,MUL,MUL,"MUL MC3",BNMC,0.81110000,8
2018,MUL,MUL,"MUL MC4",BNMC,0.81925334,8
2018,MUL,MUL,"MUL MC5",BNMC,2.28154000,11
2018,MUL,MUL,"MUL MC6",BNMC,0.91765333,6
2018,TJE,TJE,"TJE TC1",TC,18.42158666,7
2018,TJE,TJE,"TJE TC2",TC,58.63182001,8
2018,TJE,TJE,"TJE TC3",TC,16.21653332,8
2018,TJE,TJE,"TJE TC4",TC,6.14435334,6
2018,TJE,TJE,"TJE TC5",TC,9.99134000,7
2018,TJE,TJE,"TJE TC6",TC,1.25184001,6
2018,TJE,TJE,"TJE MC1",BNMC,60.68670000,7
2018,TJE,TJE,"TJE MC2",BNMC,31.32004666,6
2018,TJE,TJE,"TJE MC3",BNMC,33.73591333,6
2018,TJE,TJE,"TJE MC4",BNMC,34.52340666,9
2018,TJE,TJE,"TJE MC5",BNMC,29.10113999,7
2018,TJE,TJE,"TJE MC6",BNMC,57.33589999,14
2019,SDW,W2,"SDL W2 TC2",TC,3.98880667,7
2019,SDW,W2,"SDL W2 TC4",TC,4.34429334,9
2019,SDW,W2,"SDL W2 TC5",TC,2.06144666,7
2019,SDW,W4,"SDL W4 TC2",TC,0.32793332,5
2019,SDW,W4,"SDL W4 TC4",TC,0.89192000,4
2019,SDW,W4,"SDL W4 TC6",TC,0.04713333,5
2019,SDW,W1,"SDL W1 MC1",BNMC,0.57878667,7
2019,SDW,W1,"SDL W1 MC2",BNMC,0.12656667,3
2019,SDW,W1,"SDL W1 MC3",BNMC,0.13063334,4
2019,SDW,W1,"SDL W1 MC4",BNMC,0.10630001,5
2019,SDW,W1,"SDL W1 MC5",BNMC,0.13633332,7
2019,SDW,W4,"SDL W4 MC1",BNMC,0.27743332,6
2019,CSM,CSM,"CSM TC1",TC,22.91374001,11
2019,CSM,CSM,"CSM TC2",TC,31.55012668,9
2019,CSM,CSM,"CSM TC3",TC,38.40863999,11
2019,CSM,CSM,"CSM TC4",TC,36.35034667,5
2019,CSM,CSM,"CSM TC5",TC,21.54380668,16
2019,CSM,CSM,"CSM TC6",TC,53.63978668,8
2019,CSM,CSM,"CSM MC1",BNMC,4.77564667,9
2019,CSM,CSM,"CSM MC2",BNMC,3.11825999,9
2019,CSM,CSM,"CSM MC3",BNMC,17.12637334,13
2019,CSM,CSM,"CSM MC4",BNMC,13.36857332,10
2019,CSM,CSM,"CSM MC5",BNMC,16.59444666,7
2019,CSM,CSM,"CSM MC6",BNMC,26.02644666,11
2019,MUL,MUL,"MUL TC1",TC,1.63586667,8
2019,MUL,MUL,"MUL TC2",TC,1.21240000,9
2019,MUL,MUL,"MUL TC3",TC,1.51738666,10
2019,MUL,MUL,"MUL TC4",TC,3.91850666,15
2019,MUL,MUL,"MUL TC5",TC,1.67021999,13
2019,MUL,MUL,"MUL TC6",TC,1.38913334,7
2019,MUL,MUL,"MUL MC1",BNMC,1.96546000,6
2019,MUL,MUL,"MUL MC2",BNMC,1.10005334,8
2019,MUL,MUL,"MUL MC3",BNMC,1.91102001,8
2019,MUL,MUL,"MUL MC4",BNMC,0.71595333,5
2019,MUL,MUL,"MUL MC5",BNMC,15.37572000,8
2019,MUL,MUL,"MUL MC6",BNMC,0.19196667,5
2019,TJE,TJE,"TJE TC1",TC,8.61911334,11
2019,TJE,TJE,"TJE TC2",TC,31.88601333,6
2019,TJE,TJE,"TJE TC3",TC,71.83423334,7
2019,TJE,TJE,"TJE TC4",TC,23.05983333,5
2019,TJE,TJE,"TJE TC5",TC,34.74705334,6
2019,TJE,TJE,"TJE TC6",TC,6.99970667,8
2019,TJE,TJE,"TJE MC1",BNMC,8.11176667,6
2019,TJE,TJE,"TJE MC2",BNMC,7.21710666,7
2019,TJE,TJE,"TJE MC3",BNMC,7.57427333,8
2019,TJE,TJE,"TJE MC4",BNMC,41.46819334,4
2019,TJE,TJE,"TJE MC5",BNMC,5.93844666,9
2019,TJE,TJE,"TJE MC6",BNMC,46.14316666,7
2020,SDW,W2,"SDL W2 TC2",TC,0.88212000,3
2020,SDW,W2,"SDL W2 TC4",TC,1.32330000,2
2020,SDW,W2,"SDL W2 TC5",TC,0.82660000,4
2020,SDW,W4,"SDL W4 TC2",TC,0.34170000,2
2020,SDW,W4,"SDL W4 TC4",TC,3.26472000,2
2020,SDW,W4,"SDL W4 TC6",TC,0.24080000,1
2020,SDW,W1,"SDL W1 MC1",BNMC,0.41750000,2
2020,SDW,W1,"SDL W1 MC2",BNMC,0.16410000,3
2020,SDW,W1,"SDL W1 MC3",BNMC,1.35300000,4
2020,SDW,W1,"SDL W1 MC4",BNMC,1.82700000,3
2020,SDW,W1,"SDL W1 MC5",BNMC,2.78170000,3
2020,SDW,W4,"SDL W4 MC1",BNMC,0.80640000,3
2020,CSM,CSM,"CSM TC1",TC,3.59914000,5
2020,CSM,CSM,"CSM TC2",TC,39.31004000,4
2020,CSM,CSM,"CSM TC3",TC,32.41544000,4
2020,CSM,CSM,"CSM TC4",TC,6.23790000,3
2020,CSM,CSM,"CSM TC5",TC,43.13908000,11
2020,CSM,CSM,"CSM TC6",TC,38.47410000,5
2020,CSM,CSM,"CSM MC1",BNMC,1.03614000,4
2020,CSM,CSM,"CSM MC2",BNMC,9.42660000,8
2020,CSM,CSM,"CSM MC3",BNMC,27.00156000,5
2020,CSM,CSM,"CSM MC4",BNMC,41.60326000,10
2020,CSM,CSM,"CSM MC5",BNMC,5.33236000,6
2020,CSM,CSM,"CSM MC6",BNMC,22.14586000,7
2020,MUL,MUL,"MUL TC1",TC,5.73738000,6
2020,MUL,MUL,"MUL TC2",TC,6.38482000,4
2020,MUL,MUL,"MUL TC3",TC,0.84750000,7
2020,MUL,MUL,"MUL TC4",TC,8.03990000,9
2020,MUL,MUL,"MUL TC5",TC,2.31590000,5
2020,MUL,MUL,"MUL TC6",TC,1.29900000,6
2020,MUL,MUL,"MUL MC1",BNMC,9.35634000,4
2020,MUL,MUL,"MUL MC2",BNMC,0.68980000,3
2020,MUL,MUL,"MUL MC3",BNMC,2.37166000,6
2020,MUL,MUL,"MUL MC4",BNMC,4.98726000,5
2020,MUL,MUL,"MUL MC5",BNMC,1.99292000,7
2020,MUL,MUL,"MUL MC6",BNMC,1.01024000,5
2020,TJE,TJE,"TJE TC1",TC,2.11106000,9
2020,TJE,TJE,"TJE TC2",TC,0.00000000,0
2020,TJE,TJE,"TJE TC3",TC,0.46512000,1
2020,TJE,TJE,"TJE TC4",TC,0.94700000,2
2020,TJE,TJE,"TJE TC5",TC,2.70670000,2
2020,TJE,TJE,"TJE TC6",TC,0.21700000,1
2020,TJE,TJE,"TJE MC1",BNMC,0.18740000,3
2020,TJE,TJE,"TJE MC2",BNMC,0.11930000,3
2020,TJE,TJE,"TJE MC3",BNMC,0.04860000,1
2020,TJE,TJE,"TJE MC4",BNMC,0.49242000,2
2020,TJE,TJE,"TJE MC5",BNMC,0.55112000,3
2020,TJE,TJE,"TJE MC6",BNMC,0.02480000,1
2021,SDW,W2,"SDL W2 TC2",TC,2.42583333,6
2021,SDW,W2,"SDL W2 TC4",TC,2.65110000,5
2021,SDW,W2,"SDL W2 TC5",TC,1.40247333,4
2021,SDW,W4,"SDL W4 TC2",TC,2.60318000,3
2021,SDW,W4,"SDL W4 TC4",TC,1.00133334,4
2021,SDW,W4,"SDL W4 TC6",TC,0.57686666,6
2021,SDW,W1,"SDL W1 MC1",BNMC,0.80552001,5
2021,SDW,W1,"SDL W1 MC2",BNMC,0.87512000,6
2021,SDW,W1,"SDL W1 MC3",BNMC,1.50736667,5
